//當代中文/Book 1/L01-I
陈月美[陳月美]	Chén Yuèměi	a woman from Vietnam
师大（师范大学）[師大（師範大學）]	Shīdà (Shīfàn Dàxué)	NTNU (National Taiwan Normal University)
和平东路[和平東路]	Hépíng Dōng Lù	Heping East Road
往前[往前]	wǎng qián	(Ph) forward, ahead
右转[右轉]	yòu zhuǎn	(Ph) to turn right
听起来[聽起來]	tīng qǐlái	(Ph) to sound, sound like
看见[看見]	kànjiàn	(Ph) to see, to have seen
//當代中文/Book 2/L01-II
下载[下載]	xiàzài	(V) to download
地图[地圖]	dìtú	(N) map
好用[好用]	hǎoyòng	(Vs) easy to use, handy
着[著]	zhe	(Ptc) a particle indicating progression or continuation of action
日用品[日用品]	rìyòngpǐn	(N) articles of daily use
经过[經過]	jīngguò	(V) to go past
巷子[巷子]	xiàngzi	(N) alley
饿[餓]	è	(Vs) hungry
一边[一邊]	yìbiān	(Adv) indicates doing two things simultaneously, as, while
发现[發現]	fāxiàn	(Vpt) to discover
离[離]	lí	(Prep) (away) from
背包[背包]	bēibāo	(N) backpack
正好[正好]	zhènghǎo	(Adv) just, happen to
最后[最後]	zuìhòu	(Adv) in the end, finally
枝[枝]	zhī	(M) measure word for pens
笔[筆]	bǐ	(N) pen
本[本]	běn	(M) measure word for books
本子[本子]	běnzi	(N) notebook
左转[左轉]	zuǒ zhuǎn	(Ph) to turn left
师大路上[師大路上]	Shīdà Lù shàng	(Ph) on Shida Road
面店[麵店]	miàn diàn	(Ph) noodle shop
//當代中文/Book 2/L02-I
还是[還是]	háishì	(Adv) should probably, alternatively, had better
早[早]	zǎo	(Vs) Good morning.
约[約]	yuē	(V) to invite someone to do something at a specific time
对面[對面]	duìmiàn	(N) on the other side of (something), opposite
直接[直接]	zhíjiē	(Adv) directly
不必[不必]	búbì	(Vaux) no need to, not necessary to
换[換]	huàn	(V) to transfer (transportation)
车站[車站]	chēzhàn	(N) bus station, train station
麻烦[麻煩]	máfán	(Vs) troublesome
赶快[趕快]	gǎnkuài	(Adv) right away; quickly (indicating urgency)
走[走]	zǒu	(Vp) to leave, to bid farewell
班次[班次]	bāncì	(N) number of scheduled runs (of trains, flights, boats, buses)
礼拜[禮拜]	lǐbài	(N) week
见[見]	jiàn	(V) to see
电脑展[電腦展]	diànnǎo zhǎn	computer show
世贸展览馆[世貿展覽館]	Shìmào Zhǎnlǎn Guǎn	World Trade Center Exhibition Hall
展览馆[展覽館]	zhǎnlǎn guǎn	exhibition hall
台北101[台北101]	Táiběi Yīlíngyī	Taipei 101, the tallest building in Taiwan. It was also the tallest building in the world from 2004 to 2010.
台北[台北]	Táiběi	Taipei
2号线[2號線]	èr hào xiàn	(Ph) Line 2 (of the Taipei MRT)
别急[別急]	bié jí	(Ph) No need to hurry. Take your time.
//當代中文/Book 2/L02-II
飞机[飛機]	fēijī	(N) airplane
转机[轉機]	zhuǎn jī	(V-sep) to transfer (flights)
机场[機場]	jīchǎng	(N) airport
巴士[巴士]	bāshì	(N) bus
市区[市區]	shìqū	(N) downtown
下[下]	xià	(V) to get off, alight, disembark
交通[交通]	jiāotōng	(N) transportation
便利[便利]	biànlì	(Vs) convenient, handy
到处[到處]	dàochù	(Adv) everywhere
路线[路線]	lùxiàn	(N) route
复杂[複雜]	fùzá	(Vs) complicated
轻松[輕鬆]	qīngsōng	(Vs) with ease
东部[東部]	dōngbù	(N) eastern part
海边[海邊]	hǎibiān	(N) seaside
岛[島]	dǎo	(N) island
搭[搭]	dā	(V) to take (bus, boat, plane, taxi, etc.)
船[船]	chuán	(N) boat, ship
地[地]	de	(Ptc) adverbial particle
美美[美美]	Měiměi	Meimei, name of a girl
法国[法國]	Fǎguó	France
欧洲[歐洲]	Ōuzhōu	Europe
悠游卡[悠遊卡]	yōuyóukǎ	EasyCard (MRT pass)
绿岛[綠島]	Lǜdǎo	Green Island, to the southeast of the main island
东南边[東南邊]	dōngnán biān	(Ph) the southeast side of
好好地[好好地]	hǎohǎo de	(Ph) to do something properly
//當代中文/Book 2/L03-I
进步[進步]	jìnbù	(Vp) to make improvement, to progress
早[早]	zǎo	(Vs) early
考试[考試]	kǎoshì	(N) a test, examination
准备[準備]	zhǔnbèi	(V) to prepare, to get ready
考[考]	kǎo	(V) to take a test
听写[聽寫]	tīngxiě	(N) dictation
容易[容易]	róngyì	(Vs) easy
小学[小學]	xiǎoxué	(N) elementary school
汉字[漢字]	hànzì	(N) Chinese characters
高中[高中]	gāozhōng	(N) senior high school
过[過]	guò	(Ptc) a particle indicating experience
才[才]	cái	(Adv) just, only
说话[說話]	shuōhuà	(V-sep) to speak
不够[不夠]	bú gòu	(Adv) not quite, not enough
流利[流利]	liúlì	(Vs) fluent
虽然[雖然]	suīrán	(Conj) although
环境[環境]	huánjìng	(N) environment, surroundings
同意[同意]	tóngyì	(Vst) to agree with
报纸[報紙]	bàozhǐ	(N) newspapers
面包[麵包]	miànbāo	(N) bread
演讲[演講]	yǎnjiǎng	(N) a speech, a public lecture
噢[噢]	òu	(Ptc) Oh
活动中心[活動中心]	huódòng zhōngxīn	(Ph) activity center
想起来[想起來]	xiǎng qǐlái	(Ph) to have remembered
//當代中文/Book 2/L03-II
选[選]	xuǎn	(V) to select
作业[作業]	zuòyè	(N) homework, assignment
练习[練習]	liànxí	(V) to practice
半夜[半夜]	bànyè	(N) middle of the night, late at night
高兴[高興]	gāoxìng	(Vs) glad, pleased
平常[平常]	píngcháng	(Adv) usually
爬山[爬山]	páshān	(V-sep) to go hiking
认识[認識]	rènshì	(Vpt) to get to know someone
聊天[聊天]	liáotiān	(V-sep) to have a chat
文化[文化]	wénhuà	(N) culture
广告[廣告]	guǎnggào	(N) advertisement, commercial
位[位]	wèi	(M) measure word for people (polite form)
了解[了解]	liǎojiě	(Vst) to understand
生活[生活]	shēnghuó	(N) life
阳明山[陽明山]	Yángmíng Shān	Yangming Mountain
外国人[外國人]	wàiguó rén	(Ph) foreigner
一些[一些]	yìxiē	(Ph) a little bit of, some, a fair amount of
//當代中文/Book 2/L04-I
高美玲[高美玲]	Gāo Měilíng	Gao Meiling, a woman from France
打工[打工]	dǎgōng	(V-sep) to work part-time
主任[主任]	zhǔrèn	(N) director
介绍[介紹]	jièshào	(V) to introduce
岁[歲]	suì	(M) years of age
语言学[語言學]	yǔyánxué	(N) linguistics
经验[經驗]	jīngyàn	(N) experience
谈[談]	tán	(V) to talk over, to talk about, to discuss
当[當]	dāng	(V) to serve as
助教[助教]	zhùjiào	(N) teaching assistant
上午[上午]	shàngwǔ	(N) morning
除了[除了]	chúle	(Prep) except for, other than
年级[年級]	niánjí	(N) grade (year in school)
暑假[暑假]	shǔjià	(N) summer vacation
请教[請教]	qǐngjiào	(V) to ask, to inquire (polite form)
贵[貴]	guì	(Vs-attr) your (honorable)
薪水[薪水]	xīnshuǐ	(N) pay
算[算]	suàn	(V) to calculate
按照[按照]	ànzhào	(Prep) based on, in accordance with
教授[教授]	jiàoshòu	(N) professor
钟点费[鐘點費]	zhōngdiǎnfèi	(N) hourly pay
份[份]	fèn	(M) measure word for job
法文[法文]	Fǎwén	French language
亚洲[亞洲]	Yàzhōu	Asia
西班牙语[西班牙語]	Xībānyá yǔ	Spanish language
英文[英文]	Yīngwén	English language
三年级[三年級]	sān niánjí	(Ph) grade three (school or university)
//當代中文/Book 2/L04-II
法律[法律]	fǎlǜ	(N) law
够[夠]	gòu	(Vs-pred) enough
履历表[履歷表]	lǚlìbiǎo	(N) resume
面谈[面談]	miàntán	(Vi/N) to have an interview, interview
华侨[華僑]	Huáqiáo	(N) overseas Chinese
办公室[辦公室]	bàngōngshì	(N) office
谈话[談話]	tánhuà	(V-sep) to talk
情形[情形]	qíngxíng	(N) situation
适合[適合]	shìhé	(Vst) suitable for
说明[說明]	shuōmíng	(V) to explain
然后[然後]	ránhòu	(Adv) afterwards, and then
月底[月底]	yuèdǐ	(N) the end of a month
发[發]	fā	(V) to pay (wages)
马上[馬上]	mǎshàng	(Adv) immediately
答应[答應]	dāyìng	(V) to accept
顺利[順利]	shùnlì	(Vs) to go, to proceed, smoothly
黄[黃]	Huáng	a common Chinese family name, literally "yellow"
没想到[沒想到]	méi xiǎngdào	(Ph) unexpectedly, didn't expect
//當代中文/Book 2/L05-I
喜酒[喜酒]	xǐjiǔ	(N) wedding banquet, wedding reception
恭喜[恭喜]	gōngxǐ	(V) to congratulate
新娘[新娘]	xīnniáng	(N) bride
参加[參加]	cānjiā	(V) to attend
婚礼[婚禮]	hūnlǐ	(N) wedding ceremony
西装[西裝]	xīzhuāng	(N) a (western) suit
正式[正式]	zhèngshì	(Vs) formal
客人[客人]	kèrén	(N) guest
手[手]	shǒu	(N) hand
照相机[照相機]	zhàoxiàngjī	(N) camera
新郎[新郎]	xīnláng	(N) bridegroom
站[站]	zhàn	(Vi) to stand
白[白]	bái	(Vs) white
帅[帥]	shuài	(Vs) handsome, good looking (of men)
礼服[禮服]	lǐfú	(N) formal attire
座位[座位]	zuòwèi	(N) seat
看起来[看起來]	kàn qǐlái	(Ph) to look, it appears to me...
//當代中文/Book 2/L05-II
结婚[結婚]	jiéhūn	(Vp-sep) to get married to
日子[日子]	rìzi	(N) day
亲戚[親戚]	qīnqī	(N) relatives
热闹[熱鬧]	rènào	(Vs) to be boisterous, lively
庆祝[慶祝]	qìngzhù	(V) to celebrate
件[件]	jiàn	(M) measure word for clothing
喜事[喜事]	xǐshì	(N) an auspicious occasion, such as a wedding
请客[請客]	qǐngkè	(V-sep) to host a banquet, treat somebody to a meal
红包[紅包]	hóngbāo	(N) red envelope with cash gift
送[送]	sòng	(V) to give a gift, to send off, to see off
新人[新人]	xīnrén	(N) newlyweds (used only at a wedding)
喜宴[喜宴]	xǐyàn	(N) wedding banquet, wedding reception
敬酒[敬酒]	jìngjiǔ	(V-sep) to make a toast (alcoholic drinks)
大人[大人]	dàrén	(N) adult
小孩[小孩]	xiǎohái	(N) child, children
不得了[不得了]	bùdéliǎo	(Vs) very; extremely; indicates severity
另外[另外]	lìngwài	(Det) another
糖[糖]	táng	(N) candies
离开[離開]	líkāi	(Vp) to depart, to leave
句[句]	jù	(M) measure word for utterances
祝福[祝福]	zhùfú	(V) to give blessings to
话[話]	huà	(N) utterance, word
一会儿[一會兒]	yìhuǐr	(Ph) in a moment
有说有笑[有說有笑]	yǒushuō yǒuxiào	(Ph) laughing and joking
有吃有喝[有吃有喝]	yǒuchī yǒuhē	(Ph) an availability of food and drink
百年好合[百年好合]	bǎinián hǎohé	(Ph) century-long matrimony, i.e., to have a long happy marriage
早生贵子[早生貴子]	zǎoshēng guìzǐ	(Ph) May you soon bear a child! (a traditional exhortation given to newly-weds)
//當代中文/Book 2/L06-I
李东健[李東健]	Lǐ Dōngjiàn	Li Dongjian, a man from Seoul
搬[搬]	bān	(V) to move to
河边[河邊]	hé biān	(N) riverside
公园[公園]	gōngyuán	(N) park
脚踏车[腳踏車]	jiǎotàchē	(N) bicycle
正在[正在]	zhèngzài	(Adv) right in the middle of, currently engaged in
网站[網站]	wǎngzhàn	(N) website
资料[資料]	zīliào	(N) information
搬家[搬家]	bān jiā	(V-sep) to move (home)
近[近]	jìn	(Vs) near, close by
合约[合約]	héyuē	(N) contract, agreement
到期[到期]	dàoqí	(Vp) to expire
还好[還好]	háihǎo	(Adv) fortunately
光线[光線]	guāngxiàn	(N) natural lighting
重要[重要]	zhòngyào	(Vs) important
如果[如果]	rúguǒ	(Conj) if
别的[別的]	biéde	(Det) other
合适[合適]	héshì	(Vs) suitable
少[少]	shǎo	(Vpt) to lack
可惜[可惜]	kěxí	(Vs) to be a shame, a pity
放[放]	fàng	(V) to store, to leave at a place
两边[兩邊]	liǎngbiān	(N) both places
愿意[願意]	yuànyì	(Vaux) to be willing to
开[開]	kāi	(V) to drive
存[存]	cún	(V) to save
随身碟[隨身碟]	suíshēndié	(N) flash drive
什么样[什麼樣]	shénmeyàng	(Ph) what kind of
慢慢来[慢慢來]	mànmàn lái	(Ph) take your time
不急[不急]	bùjí	(Ph) don't rush, no hurry
//當代中文/Book 2/L06-II
相当[相當]	xiāngdāng	(Adv) fairly
自行车[自行車]	zìxíngchē	(N) bicycle
床[床]	chuáng	(N) bed
桌子[桌子]	zhuōzi	(N) desk, table
椅子[椅子]	yǐzi	(N) chair
家具[家具]	jiājù	(N) furniture
而且[而且]	érqiě	(Conj) also
吵[吵]	chǎo	(Vs) noisy
生活费[生活費]	shēnghuófèi	(N) living expenses
低[低]	dī	(Vs) low
留[留]	liú	(Vi/V) to stay, to leave behind
长[長]	cháng	(Vs) long
讨论[討論]	tǎolùn	(V) to have a discussion over, to go over with
社团[社團]	shètuán	(N) club, association
活动[活動]	huódòng	(N) activity
失望[失望]	shīwàng	(Vs) to be disappointed
放心[放心]	fàngxīn	(Vs-sep) not to worry, to rest assured
用[用]	yòng	(V) to use
首尔[首爾]	Shǒu'ěr	Seoul
//當代中文/Book 2/L07-I
垃圾[垃圾]	lèsè	(N) garbage
倒[倒]	dào	(V) to throw out (garbage)
丢[丟]	diū	(V) to throw, to throw away (garbage)
收[收]	shōu	(V) to collect
以为[以為]	yǐwéi	(Vst) to assume wrongly
回收[回收]	huíshōu	(V) to recycle
规定[規定]	guīdìng	(N) rules, regulation
要不然[要不然]	yàobùrán	(Conj) otherwise
皮包[皮包]	píbāo	(N) purse
跑[跑]	pǎo	(Vi) to run
追[追]	zhuī	(V) to run after, to chase
有趣[有趣]	yǒuqù	(Vs) interesting
不坏[不壞]	bú huài	(Vs) not too bad
天天[天天]	tiāntiān	(Ph) every day
汽水罐[汽水罐]	qìshuǐ guàn	(Ph) soda can
纸杯[紙杯]	zhǐbēi	(Ph) paper cup
放下[放下]	fàngxià	(Ph) put down
走出来[走出來]	zǒu chūlái	(Ph) to walk out of
怎么办[怎麼辦]	zěnmebàn	(Ph) What now?
//當代中文/Book 2/L07-II
聊[聊]	liáo	(V) to chat (about)
忽然[忽然]	hūrán	(Adv) suddenly
声音[聲音]	shēngyīn	(N) sound
奇怪[奇怪]	qíguài	(Vs) strange, odd
袋子[袋子]	dàizi	(N) bag
辆[輛]	liàng	(M) measure word for vehicles
一定[一定]	yídìng	(Vs-attr) fixed, set, at a certain...
地点[地點]	dìdiǎn	(N) location
为了[為了]	wèile	(Prep) to, for the sake of
保护[保護]	bǎohù	(V) to protect
分类[分類]	fēnlèi	(N) classification
利用[利用]	lìyòng	(V) to make use of
纸[紙]	zhǐ	(N) paper
瓶子[瓶子]	píngzi	(N) bottle
塑胶[塑膠]	sùjiāo	(N) plastic
资源[資源]	zīyuán	(N) resource
回收桶[回收桶]	huíshōutǒng	(N) recycling bin
城市[城市]	chéngshì	(N) city
听见[聽見]	tīngjiàn	(Ph) to hear, to have heard
开过来[開過來]	kāi guòlái	(Ph) to drive over
走过去[走過去]	zǒu guòqù	(Ph) to walk over
丢进去[丟進去]	diū jìnqù	(Ph) to throw into
路上[路上]	lùshàng	(Ph) on the street
//當代中文/Book 2/L08-I
功夫[功夫]	gōngfū	(N) kungfu, martial arts
叫[叫]	jiào	(V) to call (for someone's attention)
见[見]	jiàn	(Ptc) accomplishment complete (in perception)
推[推]	tuī	(V) to push
体育馆[體育館]	tǐyùguǎn	(N) gym
太极拳[太極拳]	tàijíquán	(N) Tai Chi, shadow boxing
师父[師父]	shīfù	(N) (kungfu or other skill) master
天分[天分]	tiānfèn	(N) gift, talent
懂[懂]	dǒng	(Vpt) to understand, to comprehend
起来[起來]	qǐlái	(Vp) to wake up
动作[動作]	dòngzuò	(N) movement
轻[輕]	qīng	(Vs) light, effortless, gentle
腿[腿]	tuǐ	(N) leg
了[了]	liǎo	(Ptc) capability complement
下去[下去]	xiàqù	(Ptc) a temporal particle meaning to continue with an action
兴趣[興趣]	xìngqù	(N) interest
借[借]	jiè	(V) to borrow
有天分[有天分]	yǒu tiānfèn	(Ph) to be gifted, talented
学会[學會]	xué huì	(Ph) to learn, to master
起不来[起不來]	qǐ bù lái	(Ph) can't get up (from bed)
走不了路[走不了路]	zǒu bù liǎo lù	(Ph) can't walk
//當代中文/Book 2/L08-II
好处[好處]	hǎochù	(N) benefit
抱怨[抱怨]	bàoyuàn	(Vi) to complain
公尺[公尺]	gōngchǐ	(N) meter
总是[總是]	zǒngshì	(Adv) always, invariably
完[完]	wán	(Ptc) phase marker for 'completion', to finish...
体力[體力]	tǐlì	(N) physical strength
整天[整天]	zhěngtiān	(N) an entire day
精神[精神]	jīngshén	(N) spirit, energy
本来[本來]	běnlái	(Adv) originally
可能[可能]	kěnéng	(Vaux) maybe, probably
回[回]	huí	(V) to return to
影响[影響]	yǐngxiǎng	(V) to influence, to interfere with
身体[身體]	shēntǐ	(N) body
练[練]	liàn	(V) to practice, to train, to drill
想起[想起]	xiǎngqǐ	(Ph) to recall
//當代中文/Book 2/L09-I
春假[春假]	chūnjià	(N) spring break
好[好]	hǎo	(Ptc) As a resultative particle, it indicates a proper completion of an action.
到[到]	dào	(Ptc) As a resultative particle, it indicates a successful completion of an action.
特色[特色]	tèsè	(N) unique features, distinctive traits
够[夠]	gòu	(Vs-pred) enough
颜色[顏色]	yánsè	(N) color
庙[廟]	miào	(N) temple
像[像]	xiàng	(Vst) similar to
教堂[教堂]	jiàotáng	(N) church, cathedral
南部[南部]	nánbù	(N) southern region
潜水[潛水]	qiánshuǐ	(V-sep) to dive (i.e., snorkel or scuba diving)
各[各]	gè	(Det) various
鱼[魚]	yú	(N) fish
酸[酸]	suān	(Vs) sour, tart
柠檬[檸檬]	níngméng	(N) lemon, lime
味道[味道]	wèidào	(N) taste, flavor
泰国[泰國]	Tàiguó	Thailand
比起来[比起來]	bǐ qǐlái	(Ph) compared to
极了[極了]	jí le	(Ph) absolutely, extremely
忘不了[忘不了]	wàng bù liǎo	(Ph) unforgettable
//當代中文/Book 2/L09-II
乡下[鄉下]	xiāngxià	(N) countryside
气氛[氣氛]	qìfēn	(N) atmosphere
镇[鎮]	zhèn	(N) rural town
不同[不同]	bùtóng	(Vs) different
现代[現代]	xiàndài	(N) modern
公寓[公寓]	gōngyù	(N) apartment
马路[馬路]	mǎlù	(N) street
宽[寬]	kuān	(Vs) wide
汽车[汽車]	qìchē	(N) car
建筑[建築]	jiànzhú	(N) buildings
老[老]	lǎo	(Vs) old
层[層]	céng	(M) measure word for floors and storeys
北部[北部]	běibù	(N) the north
热情[熱情]	rèqíng	(Vs) hospitable, welcoming, warmhearted
挤[擠]	jǐ	(Vs) crowded
饮料[飲料]	yǐnliào	(N) drink, beverage
巴黎[巴黎]	Bālí	Paris
高雄市[高雄市]	Gāoxióng Shì	Kaohsiung City in southern Taiwan
中南部[中南部]	zhōngnánbù	(Ph) central and southern regions
买得起[買得起]	mǎi de qǐ	(Ph) afford, affordable
百货公司[百貨公司]	bǎihuò gōngsī	(Ph) department store
越来越[越來越]	yuèláiyuè	(Ph) more and more, increasingly
//當代中文/Book 2/L10-I
马丁[馬丁]	Mǎdīng	Martin, a man from the UK
包[包]	bāo	(V) to wrap
饺子[餃子]	jiǎozi	(N) dumplings
脱[脫]	tuō	(V) to remove, to take off (clothing)
鞋[鞋]	xié	(N) shoes
关[關]	guān	(V) to close
门[門]	mén	(N) door
春卷[春捲]	chūnjuǎn	(N) spring rolls
泡菜[泡菜]	pàocài	(N) kimchi, pickled vegetables
饭厅[飯廳]	fàntīng	(N) dining room
下[下]	xià	(Ptc) to have enough space to accommodate
洗[洗]	xǐ	(V) to wash
做菜[做菜]	zuòcài	(V-sep) to cook
水饺[水餃]	shuǐjiǎo	(N) dumplings (when boiled in water)
煮[煮]	zhǔ	(V) to cook, to boil
坏[壞]	huài	(Vp) to go bad
破[破]	pò	(Vp) to break, to split open
馅儿[餡兒]	xiànr	(N) filling
扁[扁]	biǎn	(Vs) flat
材料[材料]	cáiliào	(N) ingredients
道[道]	dào	(M) measure word for dishes of food
饱[飽]	bǎo	(Vs) to have eaten enough, to be full
光[光]	guāng	(Vp) to be finished, none left
锅子[鍋子]	guōzi	(N) pot, kettle, pan, wok
筷子[筷子]	kuàizi	(N) chopsticks
碗[碗]	wǎn	(N) bowl
韩国[韓國]	Hánguó	(South) Korea
看不出来[看不出來]	kàn bù chūlái	(Ph) It does not occur to me that..., can't tell (i.e., ascertain)
酸辣汤[酸辣湯]	suānlà tāng	(Ph) hot and sour soup
//當代中文/Book 2/L10-II
学期[學期]	xuéqí	(N) semester
趁[趁]	chèn	(Prep) while, take advantage of
皮[皮]	pí	(N) skin, wraps
尝[嚐]	cháng	(V) to savor, to taste
大白菜[大白菜]	dàbáicài	(N) Chinese cabbage
加[加]	jiā	(V) to add
盐[鹽]	yán	(N) salt
拌[拌]	bàn	(V) to stir, to mix
辣椒[辣椒]	làjiāo	(N) chili peppers
调味料[調味料]	tiáowèiliào	(N) seasonings
装[裝]	zhuāng	(V) to pack into
玻璃[玻璃]	bōlí	(N) glass
寿司[壽司]	shòusī	(N) sushi
像[像]	xiàng	(Vst) such as; like
食物[食物]	shíwù	(N) food
做起来[做起來]	zuò qǐlái	(Ph) when undertaken, to do
//當代中文/Book 2/L11-I
其他[其他]	qítā	(Det) other, the other, the remaining
假期[假期]	jiàqí	(N) vacation, holiday
温泉[溫泉]	wēnquán	(N) hot springs
建议[建議]	jiànyì	(V) to suggest, to recommend
票[票]	piào	(N) ticket
考虑[考慮]	kǎolǜ	(V) to consider
顺便[順便]	shùnbiàn	(Adv) without making any extra effort, on the way, while doing something else, while one is at it
